"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"NE","KC","KC","NE",NA,"south","south",NA,"KC_NE_2017"
"BUF","NYJ","NYJ","BUF",NA,"west","east",NA,"NYJ_BUF_2017"
"CHI","ATL","CHI","ATL",NA,"south","south",NA,"ATL_CHI_2017"
"CIN","BAL","BLT","CIN",NA,"south","north",NA,"BAL_CIN_2017"
"CLV","PIT","PIT","CLV",NA,"east","east",NA,"PIT_CLV_2017"
"DET","ARZ","DET","ARZ",NA,"west","west",NA,"ARZ_DET_2017"
"HST","JAX","HST","JAX",NA,"north","south",NA,"JAX_HST_2017"
"MIA","TB","MIA","TB",NA,"west",NA,NA,"TB_MIA_2017"
"TEN","OAK","TEN","OAK",NA,"south","north",NA,"OAK_TEN_2017"
"WAS","PHI","PHI","WAS",NA,"east","east",NA,"PHI_WAS_2017"
"LA","IND","IND","LA",NA,"west",NA,NA,"IND_LA_2017"
"GB","SEA","GB","SEA",NA,"north",NA,NA,"SEA_GB_2017"
"SF","CAR","SF","CAR",NA,"south","north",NA,"CAR_SF_2017"
"DAL","NYG","NYG","DAL",NA,"south","south",NA,"NYG_DAL_2017"
"MIN","NO","MIN","NO",NA,"east",NA,NA,"NO_MIN_2017"
"DEN","LAC","LAC","DEN",NA,"north","south",NA,"LAC_DEN_2017"
"CIN","HST","CIN","HST",NA,"south","south",NA,"HST_CIN_2017"
"BLT","CLV","BLT","CLV",NA,"east",NA,NA,"CLV_BLT_2017"
"CAR","BUF","BUF","CAR",NA,"east","east",NA,"BUF_CAR_2017"
"IND","ARZ","IND","ARZ","ARZ","north","south","north","ARZ_IND_2017"
"JAX","TEN","JAX","TEN",NA,"south","north",NA,"TEN_JAX_2017"
"KC","PHI","PHI","KC",NA,"west","east",NA,"PHI_KC_2017"
"NO","NE","NO","NE",NA,"south","north",NA,"NE_NO_2017"
"PIT","MIN","MIN","PIT",NA,"north","south",NA,"MIN_PIT_2017"
"TB","CHI","CHI","TB",NA,"south","south",NA,"CHI_TB_2017"
"LAC","MIA","MIA","LAC",NA,NA,"south",NA,"MIA_LAC_2017"
"OAK","NYJ","NYJ","OAK",NA,"south","north",NA,"NYJ_OAK_2017"
"DEN","DAL","DEN","DAL",NA,"north","south",NA,"DAL_DEN_2017"
"LA","WAS","WAS","LA",NA,"west",NA,NA,"WAS_LA_2017"
