"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","game_id"
"PHI","ATL","PHI","ATL",NA,"north","south",NA,"ATL_PHI_2018"
"BLT","BUF","BUF","BLT",NA,"east","west",NA,"BUF_BLT_2018"
"CLV","PIT","CLV","PIT","PIT","west","west","west","PIT_CLV_2018"
"IND","CIN","IND","CIN",NA,"south","north",NA,"CIN_IND_2018"
"MIA","TEN","MIA","TEN",NA,"east",NA,NA,"TEN_MIA_2018"
"MIN","SF","SF","MIN",NA,"west",NA,NA,"SF_MIN_2018"
"NE","HST","HST","NE",NA,"north","south",NA,"HST_NE_2018"
"NO","TB","TB","NO",NA,"north","north",NA,"TB_NO_2018"
"NYG","JAX","NYG","JAX",NA,"south","north",NA,"JAX_NYG_2018"
"LAC","KC","KC","LAC",NA,"north","south",NA,"KC_LAC_2018"
"ARZ","WAS","ARZ","WAS",NA,"north","north",NA,"WAS_ARZ_2018"
"CAR","DAL","CAR","DAL",NA,"east","west",NA,"DAL_CAR_2018"
"DEN","SEA","SEA","DEN",NA,"south",NA,NA,"SEA_DEN_2018"
"GB","CHI","CHI","GB",NA,"south",NA,NA,"CHI_GB_2018"
"DET","NYJ","DET","NYJ",NA,"west","east",NA,"NYJ_DET_2018"
"OAK","LA","LA","OAK",NA,"south","north",NA,"LA_OAK_2018"
"CIN","BAL","CIN","BLT",NA,"south","north",NA,"BAL_CIN_2018"
"ATL","CAR","ATL","CAR",NA,"west","west",NA,"CAR_ATL_2018"
"BUF","LAC","BUF","LAC",NA,"east","west",NA,"LAC_BUF_2018"
"GB","MIN","MIN","GB","GB","north",NA,"","MIN_GB_2018"
"NO","CLV","NO","CLV",NA,"north","north",NA,"CLV_NO_2018"
"NYJ","MIA","NYJ","MIA",NA,"south","north",NA,"MIA_NYJ_2018"
"PIT","KC","KC","PIT",NA,"south","north",NA,"KC_PIT_2018"
"TB","PHI","PHI","TB",NA,"north","south",NA,"PHI_TB_2018"
"TEN","HST","TEN","HST",NA,"north","south",NA,"HST_TEN_2018"
"WAS","IND","WAS","IND",NA,"east","west",NA,"IND_WAS_2018"
"LA","ARZ","ARZ","LA",NA,"west",NA,NA,"ARZ_LA_2018"
"SF","DET","SF","DET",NA,"south","north",NA,"DET_SF_2018"
"DEN","OAK","DEN","OAK",NA,"south",NA,NA,"OAK_DEN_2018"
"JAX","NE","JAX","NE",NA,"north",NA,NA,"NE_JAX_2018"
"DAL","NYG","NYG","DAL",NA,"north","north",NA,"NYG_DAL_2018"
"CHI","SEA","CHI","SEA",NA,"north","north",NA,"SEA_CHI_2018"
"CLV","NYJ","NYJ","CLV",NA,NA,NA,NA,"NYJ_CLV_2018"
"ATL","NO","ATL","NO","ATL","west","west","west","NO_ATL_2018"
"BLT","DEN","DEN","BLT",NA,"east","west",NA,"DEN_BLT_2018"
"CAR","CIN","CIN","CAR",NA,"west","east",NA,"CIN_CAR_2018"
"HST","NYG","NYG","HST",NA,"south","north",NA,"NYG_HST_2018"
"JAX","TEN","TEN",NA,NA,"north",NA,NA,"TEN_JAX_2018"
"KC","SF","KC","SF",NA,"east","west",NA,"SF_KC_2018"
"MIA","OAK","MIA","OAK",NA,"west","east",NA,"OAK_MIA_2018"
"MIN","BUF","MIN","BUF",NA,"west",NA,NA,"BUF_MIN_2018"
"PHI","IND","PHI","IND",NA,"north","south",NA,"IND_PHI_2018"
"WAS","GB","GB","WAS",NA,"west","east",NA,"GB_WAS_2018"
"LA","LAC","LAC","LA",NA,"west",NA,NA,"LAC_LA_2018"
"ARZ","CHI","CHI","ARZ",NA,"north","north",NA,"CHI_ARZ_2018"
"SEA","DAL","SEA","DAL",NA,"south","south",NA,"DAL_SEA_2018"
"DET","NE","DET","NE",NA,"west","east",NA,"NE_DET_2018"
"TB","PIT","TB","PIT",NA,"south","south",NA,"PIT_TB_2018"
"LA","MIN","LA","MIN",NA,"east",NA,NA,"MIN_LA_2018"
"ATL","CIN","CIN","ATL",NA,"west","east",NA,"CIN_ATL_2018"
"CHI","TB","TB","CHI",NA,"south","north",NA,"TB_CHI_2018"
"DAL","DET","DAL","DET",NA,"south","south",NA,"DET_DAL_2018"
"GB","BUF","GB","BUF",NA,"south",NA,NA,"BUF_GB_2018"
"IND","HST","HST","IND","HST","north","south","north","HST_IND_2018"
"JAX","NYJ","JAX","NYJ",NA,NA,NA,NA,"NYJ_JAX_2018"
"NE","MIA","NE","MIA",NA,"north","north",NA,"MIA_NE_2018"
"TEN","PHI","PHI","TEN","TEN","south","south","south","PHI_TEN_2018"
"ARZ","SEA","ARZ","SEA",NA,"north","north",NA,"SEA_ARZ_2018"
"OAK","CLV","CLV","OAK","CLV","north","south","south","CLV_OAK_2018"
"LAC","SF","SF","LAC",NA,"south","north",NA,"SF_LAC_2018"
"NYG","NO","NYG","NO",NA,"north","north",NA,"NO_NYG_2018"
"PIT","BAL","PIT","BLT",NA,"north","north",NA,"BAL_PIT_2018"
"DEN","KC","KC","DEN",NA,"north",NA,NA,"KC_DEN_2018"
"NE","IND","IND","NE",NA,"south","north",NA,"IND_NE_2018"
"BUF","TEN","BUF","TEN",NA,"east","west",NA,"TEN_BUF_2018"
"CAR","NYG","CAR","NYG",NA,"east","west",NA,"NYG_CAR_2018"
"CIN","MIA","CIN","MIA",NA,"north","north",NA,"MIA_CIN_2018"
"CLV","BAL","CLV","BLT","BLT","west","east","west","BAL_CLV_2018"
"DET","GB","GB","DET",NA,"east","west",NA,"GB_DET_2018"
"KC","JAX","KC","JAX",NA,"west","east",NA,"JAX_KC_2018"
"NYJ","DEN","NYJ","DEN",NA,"south","north",NA,"DEN_NYJ_2018"
"PIT","ATL","ATL","PIT",NA,"north","south",NA,"ATL_PIT_2018"
"LAC","OAK","OAK","LAC",NA,"south","north",NA,"OAK_LAC_2018"
"PHI","MIN","PHI","MIN",NA,"north","south",NA,"MIN_PHI_2018"
"SF","ARZ","ARZ","SF",NA,"north","south",NA,"ARZ_SF_2018"
"SEA","LA","SEA","LA",NA,"north","south",NA,"LA_SEA_2018"
"HST","DAL","HST","DAL","HST","south","north","south","DAL_HST_2018"
"NO","WAS","NO","WAS",NA,"north","south",NA,"WAS_NO_2018"
"NYG","PHI","PHI","NYG",NA,"south","north",NA,"PHI_NYG_2018"
"ATL","TB","ATL","TB",NA,"west","east",NA,"TB_ATL_2018"
"CIN","PIT","CIN","PIT",NA,"south","south",NA,"PIT_CIN_2018"
"CLV","LAC","LAC","CLV",NA,"west","west",NA,"LAC_CLV_2018"
"HST","BUF","HST","BUF",NA,"north","south",NA,"BUF_HST_2018"
"MIA","CHI","CHI","MIA","CHI","east",NA,"east","CHI_MIA_2018"
"MIN","ARZ","MIN","ARZ",NA,"east",NA,NA,"ARZ_MIN_2018"
"NYJ","IND","NYJ","IND",NA,"north","south",NA,"IND_NYJ_2018"
"OAK","SEA","OAK","SEA",NA,"west",NA,NA,"SEA_OAK_2018"
"WAS","CAR","WAS","CAR",NA,"west","west",NA,"CAR_WAS_2018"
"DEN","LA","LA","DEN",NA,"south",NA,NA,"LA_DEN_2018"
"DAL","JAX","DAL","JAX",NA,"south","south",NA,"JAX_DAL_2018"
"TEN","BAL","BLT","TEN",NA,"north","north",NA,"BAL_TEN_2018"
"NE","KC","KC","NE",NA,"south","north",NA,"KC_NE_2018"
"GB","SF","GB","SF",NA,"north",NA,NA,"SF_GB_2018"
"ARZ","DEN","DEN","ARZ",NA,"north",NA,NA,"DEN_ARZ_2018"
"LAC","TEN","LAC","TEN",NA,"east",NA,NA,"TEN_LAC_2018"
"BLT","NO","BLT","NO",NA,"east","west",NA,"NO_BLT_2018"
"CHI","NE","CHI",NA,NA,"north",NA,NA,"NE_CHI_2018"
"IND","BUF","BUF","IND",NA,"south","south",NA,"BUF_IND_2018"
"JAX","HST","HST","JAX",NA,"south","south",NA,"HST_JAX_2018"
"KC","CIN","KC","CIN",NA,"east","west",NA,"CIN_KC_2018"
"MIA","DET","DET","MIA",NA,"east","east",NA,"DET_MIA_2018"
"NYJ","MIN","NYJ","MIN",NA,"north","north",NA,"MIN_NYJ_2018"
"PHI","CAR","CAR","PHI",NA,"south","north",NA,"CAR_PHI_2018"
"TB","CLV","TB","CLV","TB","north","north","north","CLV_TB_2018"
"WAS","DAL","WAS","DAL",NA,"east","west",NA,"DAL_WAS_2018"
"SF","LA","SF","LA",NA,"north","north",NA,"LA_SF_2018"
"ATL","NYG","NYG","ATL",NA,"west","east",NA,"NYG_ATL_2018"
"HST","MIA","HST","MIA",NA,"south","south",NA,"MIA_HST_2018"
"JAX","PHI","JAX","PHI",NA,"east",NA,NA,"PHI_JAX_2018"
"CAR","BAL","CAR","BLT",NA,"east","west",NA,"BAL_CAR_2018"
"CHI","NYJ","CHI","NYJ",NA,"south","north",NA,"NYJ_CHI_2018"
"CIN","TB","TB","CIN",NA,"south","north",NA,"TB_CIN_2018"
"DET","SEA","DET","SEA",NA,"west","west",NA,"SEA_DET_2018"
"KC","DEN","KC","DEN",NA,"east","west",NA,"DEN_KC_2018"
"NYG","WAS","NYG","WAS",NA,"south","south",NA,"WAS_NYG_2018"
"PIT","CLV","PIT","CLV",NA,"north","north",NA,"CLV_PIT_2018"
"OAK","IND","OAK","IND",NA,"north","north",NA,"IND_OAK_2018"
"ARZ","SF","ARZ","SF",NA,"south","north",NA,"SF_ARZ_2018"
"LA","GB","LA","GB",NA,"east",NA,NA,"GB_LA_2018"
"MIN","NO","MIN","NO",NA,"west",NA,NA,"NO_MIN_2018"
"BUF","NE","BUF","NE",NA,"west","east",NA,"NE_BUF_2018"
"SF","OAK","SF","OAK",NA,"south","south",NA,"OAK_SF_2018"
"BLT","PIT","PIT","BLT",NA,"west","east",NA,"PIT_BLT_2018"
"BUF","CHI","BUF","CHI",NA,"east","east",NA,"CHI_BUF_2018"
"CAR","TB","CAR",NA,NA,"east",NA,NA,"TB_CAR_2018"
"CLV","KC","KC","CLV",NA,"east",NA,NA,"KC_CLV_2018"
"MIA","NYJ","NYJ","MIA",NA,"east",NA,NA,"NYJ_MIA_2018"
"MIN","DET","DET","MIN",NA,"west",NA,NA,"DET_MIN_2018"
"WAS","ATL","ATL","WAS",NA,"west","east",NA,"ATL_WAS_2018"
